combination,accuracy_original,accuracy_normalized,pls_x
Combination_124,0.14858349144297678,-0.8245015838944818,-1.6088949849792507
Combination_125,0.14220740175184257,-1.2374731770170622,-0.381944649122663
Combination_126,0.16928824391913744,0.5165201127071174,-0.7754511313955766
Combination_127,0.1700189916905578,0.5638497592385743,-1.1548858473492443
Combination_128,0.15556913541823844,-0.3720498993671596,-1.2329409456233624
Combination_129,0.16109136908879582,-0.014381524705453048,-0.3565929863757605
Combination_130,0.17621113374867028,0.9649072873558049,0.6338023148656671
Combination_131,0.14601263943109363,-0.9910125494641828,-0.7032126916827486
Combination_132,0.15218970702187284,-0.5909313763061284,-0.4751547680964102
Combination_133,0.19017354560426486,1.8692357625113671,1.9990015880243197
Combination_134,0.13926605456460192,-1.4279806655692375,0.5378779340925078
Combination_135,0.15353503697940174,-0.5037959872590191,1.2352123556844021
Combination_136,0.18824440220353647,1.7442874850948056,0.0025741967283792744
Combination_137,0.1661966016764419,0.3162781957675947,2.0126344200920077
Combination_138,0.16658711361837042,0.34157118043433404,-0.13844592489257757
Combination_139,0.1720290343020918,0.6940377803832077,1.4063490127390539
Combination_140,0.17559184046680326,0.924796412883893,-1.8184324282756683
Combination_141,0.16731674174474306,0.3888283089145257,-0.06629507079667149
Combination_142,0.13115183462403676,-1.9535288460569753,-1.9738546898062568
Combination_143,0.15302028700336429,-0.5371357186557685,0.6745484725120978
Combination_144,0.1636707025145119,0.15267877174762526,-1.1184074797569026
Combination_145,0.14944065689363575,-0.7689840176625514,0.7722204476889816
Combination_146,0.15279657645683414,-0.5516251793243248,-0.5056704002823452
Combination_147,0.15967181634168648,-0.10632423377844863,-0.6111931432318464
Combination_148,0.1631125078264091,0.11652517906229819,-0.182121624935007
Combination_149,0.1646588524778937,0.2166800459438175,0.6476799536491212
Combination_150,0.14450673886605075,-1.0885479019380793,0.3693959514700629
Combination_151,0.15229867539281391,-0.5838736271326688,-1.1073313533724163
Combination_152,0.16121162892185562,-0.006592441230605246,-1.227006239234144
Combination_153,0.15974252058390756,-0.10174480579594,-0.6101022545437986
Combination_154,0.16954118221151773,0.5329026190120772,2.1448957556278394
Combination_155,0.1755240652977051,0.9204066974136821,-0.24348551275888308
Combination_156,0.17488439357889218,0.8789759363061428,1.4897166587833874
Combination_157,0.19030188133307294,1.8775479119552674,-1.4275368989877704
Combination_158,0.18281798543180441,1.3928250547144314,-1.108472193761532
Combination_159,0.15398729484970777,-0.4745037937282088,1.47194150982665
Combination_160,0.16133464117153384,0.0013749129290841103,0.7306331746891161
Combination_161,0.1594497270502559,-0.12070868772129112,0.26194549407513595
Combination_162,0.1682293584265723,0.447937384109831,0.0760137890462359
