combination,accuracy_original,accuracy_normalized,pls_x,pls_y
Combination_97,0.1457192005060931,-1.0008796022297537,-1.3818918201265293,-1.1864259105560933
Combination_98,0.16225880443026258,0.06853917290162874,0.4076932889893383,-0.404361141392399
Combination_99,0.15542376173812736,-0.37340145743671227,0.12095443384573537,-0.5365446782596294
Combination_100,0.17315169522155255,0.7728524068260728,-0.7627157628013308,-0.7367229919804585
Combination_101,0.14799653286362183,-0.85363170007192,-0.27225847475532255,-2.3717083665164336
Combination_102,0.19785824575554736,2.370330141536282,2.0116388041324975,0.4139036522015921
Combination_103,0.174125804987582,0.8358364587783964,0.1865143843660289,-0.23725356236310913
Combination_104,0.17539836427802247,0.9181176792903459,-1.1442095481853785,2.3395069024868493
Combination_105,0.18064393546663926,1.2572861588448965,-0.7392127080444107,0.01770388243767912
Combination_106,0.1519256353842312,-0.5995835363903521,1.849516078503842,0.28456574856932504
Combination_107,0.16962951236665308,0.545114881082119,0.010859057977189973,0.12428003867034715
Combination_108,0.1505999193176393,-0.6853017711562368,-0.21302918428186485,1.550732135742928
Combination_109,0.17295020977021705,0.7598247475446356,0.4744805748046774,-1.0389497111879764
Combination_110,0.16186078959667677,0.04280430417267064,-0.3010099843264314,-1.1564436256675974
Combination_111,0.12707689063990854,-2.2062552735045347,-1.3157006663997906,0.0738858615638815
Combination_112,0.15820396399400363,-0.19363896102336434,1.6523720486982976,-1.198604323052452
Combination_113,0.1720498372617901,0.7016084039406113,2.009897632425708,-1.2961280958154777
Combination_114,0.1514533029516521,-0.6301236372186091,-0.4263232601736902,1.0853056302520823
Combination_115,0.1635785354514028,0.15387042621345987,-0.2330472860037679,-1.6769869060473892
Combination_116,0.14340069913364756,-1.1507894132039997,-1.9289524541669996,2.153514099603567
Combination_117,0.1389987871961426,-1.4354085185964622,-0.9416223744725218,-1.8225913962324962
Combination_118,0.14761101303741003,-0.8785586658098243,0.09163238024142317,-0.5686355256680748
Combination_119,0.17985346729489696,1.2061760169164255,0.9457821642429265,-1.166633312946918
Combination_120,0.15988260538718296,-0.08510125777429331,1.7026830476281891,-1.528361318183329
Combination_121,0.13292575975117862,-1.8280787180346723,0.536393278769782,1.713922677880219
Combination_122,0.1643631568720502,0.20460252853329897,-1.1133624230168147,1.201320478824092
Combination_123,0.16357290146203293,0.15350614336614066,0.816647775074611,-0.5217839734647661
Combination_124,0.13950998464201875,-1.402355481236825,0.06428668599437526,1.2818968627061424
Combination_125,0.14015183127911943,-1.3608549200615143,-1.2002723381597609,0.7925346633056054
Combination_126,0.17213783830601026,0.7072983811221496,1.5540772323296956,-0.14845311469525552
Combination_127,0.18894025696942968,1.7937102485805152,0.6577401929152771,0.9262521217808957
Combination_128,0.15980554121822868,-0.09008407777091819,-0.8843289680756004,-1.278263708555796
Combination_129,0.1592679943758782,-0.12484081610381904,-0.6166227639005951,-0.7874405292093135
