combination,pca_x,pca_y,accuracy
A1+B1+C7+D4,-140.29412240447576,230.36282116588603,0.15754207210226046
A1+B1+C7+D5,-140.29412240447564,230.362821165886,0.1565763352884818
A1+B1+C7+D6,-140.29412240447584,230.36282116588598,0.15880162909645562
A1+B1+C7+D7,-140.2941224044758,230.362821165886,0.17297160242154985
A1+B1+C7+D8,-140.2941224044758,230.362821165886,0.1485942991346951
A1+B1+C7+D9,-140.29412240447581,230.36282116588603,0.13402047583685925
A1+B1+C7+D10,-140.29412240447581,230.36282116588598,0.1471604080372521
A1+B1+C8+D1,-140.29412240447604,230.3628211658859,0.1511803450388825
A1+B1+C8+D2,-140.2941224044759,230.3628211658859,0.15968045071037035
A1+B1+C8+D3,-140.29412240447607,230.3628211658859,0.1675587133295752
A1+B1+C8+D4,-140.29412240447596,230.36282116588592,0.16657942798580044
A1+B1+C8+D5,-140.29412240447584,230.3628211658859,0.16561369117202163
A1+B1+C8+D6,-140.29412240447604,230.36282116588586,0.16783898497999578
A1+B1+C8+D7,-140.29412240447598,230.3628211658859,0.18200895830509006
A1+B1+C8+D8,-140.29412240447598,230.3628211658859,0.1576316550182349
A1+B1+C8+D9,-140.294122404476,230.36282116588592,0.14305783172039913
A1+B1+C8+D10,-140.294122404476,230.36282116588586,0.1561977639207922
A1+B1+C9+D1,-140.29412240447604,230.36282116588586,0.14556729164939763
A1+B1+C9+D2,-140.2941224044759,230.36282116588586,0.15406739732088562
A1+B1+C9+D3,-140.29412240447607,230.36282116588586,0.16194565994009014
A1+B1+C9+D4,-140.29412240447596,230.3628211658859,0.1609663745963156
A1+B1+C9+D5,-140.29412240447584,230.36282116588586,0.16000063778253693
A1+B1+C9+D6,-140.29412240447604,230.36282116588583,0.16222593159051085
A1+B1+C9+D7,-140.29412240447598,230.36282116588586,0.1763959049156052
A1+B1+C9+D8,-140.29412240447598,230.36282116588586,0.1520186016287501
A1+B1+C9+D9,-140.294122404476,230.3628211658859,0.13744477833091442
A1+B1+C9+D10,-140.294122404476,230.36282116588583,0.15058471053130748
A1+B1+C10+D1,-140.29412240447587,230.3628211658861,0.1386185039150557
A1+B1+C10+D2,-140.29412240447573,230.3628211658861,0.14711860958654324
