agent_id,umap_x,umap_y,cluster,avg_accuracy,avg_spearman,weights
B11,14.182229,2.5015047,0,0.5369999999999999,0.8842500000000001,"[2.326620599823368, 0.1, 1.4595952290839265, 0.28883926719745645, 1.0271069913359616, 0.1, 0.5890907020155276, 1.2303952250223795, 0.10842488733123323, 0.1, 0.8436345300865127, 0.1, 0.5687082969899764, 0.1, 1.075052501121576, 0.7233458111058846, 0.7713462265695179, 0.8760460840268516, 0.1, 1.4886889550741569, 0.1, 0.8297403551817735, 2.4538433111470663, 0.1, 0.23177951455959167, 0.4478932170566253, 0.1, 0.9967841233539034, 1.7729840818968117, 1.1336001254683197, 0.1, 2.063526626676053, 0.6329512325929827, 0.4676066808658388, 0.1, 0.42195184629958704, 0.1, 0.1, 1.7451300626475152, 2.404155876335276, 0.4692296575138212, 1.1272903818704199, 1.082293655580431, 1.2381491821523403, 0.7539406884348523, 2.0742374922286793, 1.767370099641114, 0.1, 0.8599237315523108, 0.6221048087153879]"
B12,13.750621,2.8857937,0,0.55,0.85,"[1.2804319539804734, 1.4747262169556623, 0.28277694007162346, 1.2366826151243349, 0.17054073786749868, 0.1, 0.9533538615125781, 0.1, 0.35312987517373085, 2.388199840759868, 1.681451560001582, 0.26577620093031795, 0.6766548516652319, 2.7325821596123356, 1.152912395028909, 0.1, 1.6959374856826692, 2.480032372260335, 1.969766516534228, 0.22528993831326816, 0.9545278983007345, 0.1, 0.1, 0.5898969018103006, 0.1, 2.358453115863731, 1.206653958036231, 0.1, 1.2585361587619308, 2.7450507958157195, 0.1, 1.1205540166295072, 0.1, 0.5724530015696407, 1.492701091474772, 0.1, 0.7434541594907922, 0.8202740282409643, 0.4232636109862905, 0.6211145307316502, 0.2746316891974483, 1.8338959255335983, 1.3558642314067986, 0.8219649447879217, 1.8928924903741078, 2.471545105536496, 2.041980039119192, 0.7667279077191352, 1.2460696606574582, 1.134430571815381]"
B13,15.40148,3.7564478,0,0.46699999999999997,0.8667500000000001,"[0.5738941726484009, 0.5014376286776294, 0.2371693427645154, 0.5202460502218216, 1.8120016280627915, 0.9713579918729737, 1.3605814434321826, 0.1, 1.7247751106801084, 1.75847827201844, 2.955647989835681, 0.25695288808395733, 0.1, 2.3678599068451103, 1.8997695549591336, 2.9229391158627998, 2.4702533258547152, 3.671387397964449, 1.1095953115271209, 0.7318471904993817, 0.8238705528915721, 2.4453488463007087, 0.874964687729944, 1.990773999520922, 4.356857260382608, 0.1, 1.218822554387577, 2.1743437999255204, 1.8522333150447499, 0.9962897319614835, 0.1, 0.7251526753050721, 2.0232523445034047, 1.8573508383039092, 1.0096831775960569, 1.771420108872023, 0.8728205983701245, 1.3135600616837202, 1.9866582858002542, 1.2901582111342278, 0.1, 2.529800871173375, 0.1, 0.1, 3.716820482122683, 0.566436794434735, 1.294816258340641, 1.70457746091704, 0.888359350197259, 1.8873977022666872]"
B14,14.265171,3.050317,0,0.5419999999999999,0.8855000000000003,"[0.6779976409091615, 0.5603486328255824, 0.37099291802042256, 0.551014821199997, 0.7532971026900397, 1.460556457882935, 1.7180219070543603, 0.9078675684668216, 0.5162774551364107, 0.20349044268204408, 2.2455184794994176, 1.243072826874069, 1.2886291913307837, 0.1, 2.425280485124376, 0.1706510041372835, 2.4399280093384332, 0.6630568328037947, 1.3302299620752076, 1.240944586262526, 1.4310413371486466, 1.1512799763145014, 1.0749613916232852, 0.9152623084555194, 0.1, 0.1, 0.8722850512517808, 0.4598386539788535, 1.0799507661946999, 3.5277479257621023, 1.8688000946464394, 0.1, 1.2313329074684256, 1.880464578314769, 0.5803293625075072, 1.095470141425696, 0.4783354443925144, 0.1, 2.2199537747179257, 0.9228049291200111, 0.31411747772565246, 1.5008788842467258, 0.1, 0.9516989483543737, 0.1, 0.9148508710934113, 1.0504974794946982, 0.1, 0.4273292907163926, 0.4939047271658774]"
B15,14.648055,1.5342432,0,0.3990000000000001,0.7292500000000001,"[0.1, 0.1, 2.993812761528436, 0.9338136774359121, 2.2892690254791823, 1.6141068362178062, 0.8797313436708432, 2.519003927756196, 0.1, 0.6228867012538797, 0.3656847798180648, 0.8445922874613677, 1.1429711027728247, 0.1, 0.25013115905900984, 0.1, 1.759447878260239, 2.407558264937518, 1.6136824669129024, 0.1, 2.6087279961947942, 0.8971486236776858, 1.6492020734515966, 0.8278342679501947, 2.1416255474740815, 0.4970788431937234, 1.60373325194079, 0.27061876873097623, 0.1, 0.4394698588477641, 1.3011341488667671, 0.31875273186177955, 0.9503713327204799, 0.1, 0.1, 1.1856548903716289, 0.20556870566540986, 1.4709839665262983, 1.4816101465924842, 0.1, 3.229644658407508, 0.9388661934073993, 0.29706165488433545, 0.8116155542125988, 0.17209135014744747, 0.8621396176822161, 0.1, 0.36161228003397683, 0.2275137479178031, 0.9139225591680206]"
B16,14.965952,1.9802618,0,0.428,0.8570000000000002,"[0.1, 1.1067096281732027, 1.8148677192134917, 1.0956855485104138, 0.1, 1.6742549555717967, 1.065594460457562, 1.1389598404117498, 0.8548412547990434, 2.363614146354749, 0.8672075345197411, 2.446058888719861, 0.15215855647190724, 0.1, 0.868011296360754, 1.0031065113987956, 1.5409892214959573, 2.910480906696152, 1.5576525642541255, 1.0025335944295068, 0.1, 2.2970880731741623, 2.8004830221717505, 0.1, 0.6544328165308769, 0.1, 0.7795021450879758, 0.13197797954263957, 0.28212448647853594, 0.1, 0.1, 0.8634369951771793, 0.1, 0.44446388781726354, 1.8947844319396845, 2.221412601070301, 1.2019571519412797, 1.0110426925099851, 1.7494626788807448, 2.241476092112541, 0.8443288311284823, 0.531446687791302, 2.147881140214077, 0.27779073168271884, 0.4845466538693266, 0.9054317340864946, 0.8626896229698702, 0.1, 0.1191085283426212, 0.2739923697629403]"
B17,15.540644,3.0675528,0,0.33799999999999997,0.8345000000000001,"[1.8278396928536387, 0.3424067476916778, 0.1, 0.23062376747906577, 0.3899943599505308, 1.0852001354827974, 0.1, 1.8342816273162548, 0.1, 1.0917666856522246, 1.9667306578604165, 0.16206875985485603, 0.5387531782200929, 0.1, 2.0534505016890217, 1.3853508450365803, 0.19706064672483992, 2.023482610529308, 2.892786870790058, 1.0268403639063428, 1.5982062804821502, 3.389038010455422, 1.0905923793801158, 1.7572876014863326, 0.4591818081047734, 0.1, 0.4930348677871791, 0.1, 0.9603514905351732, 0.49138194841343474, 1.8895711999287093, 0.5582594028640453, 1.2981748945127338, 0.26876442335411066, 3.7726903014515196, 0.9615239841571463, 1.4797860461028038, 2.015533326228965, 2.3253629424733466, 0.1, 0.36360812906177353, 1.3476227541039991, 0.1, 1.237473968400521, 0.661008814789193, 0.1, 1.7113840624722996, 1.4038568323616571, 1.6044385257919442, 1.4799783412405603]"
B18,12.496521,3.5076149,-1,0.5829999999999999,0.8957500000000002,"[0.1, 0.3784716134693953, 0.8356000246717782, 3.552951755537621, 1.1154500376305345, 0.3963532881569616, 0.1, 0.1, 0.9661996400196312, 1.4002616353246515, 0.1, 1.092113672592949, 1.4052388112450063, 1.900452924131541, 1.9290918616853177, 1.5211322219030408, 1.5213422339528977, 1.4848383080777876, 1.0890919646162978, 0.1, 2.5721381839946806, 0.9295861167714943, 0.2610832855533882, 0.6618917131313229, 0.857775883729818, 1.8342032175645044, 0.1, 0.1, 0.5184659092692875, 1.9355068439553134, 0.5657891287655314, 0.1, 0.8008624916862186, 1.3622827213782018, 1.1111389325943286, 3.4858311922931726, 0.1, 2.1692497897714613, 2.433421860598138, 2.80193831680739, 1.2587356050418022, 0.1, 0.5919068951053255, 1.216671299939261, 1.008769327053405, 1.8058079165443433, 0.44913439389377496, 1.6866719710798557, 0.2509477971886471, 0.1]"
B19,12.831108,2.501336,1,0.5824999999999999,0.8825000000000003,"[1.3842685498869614, 2.0530039891550977, 3.0529428641937195, 2.593948876153668, 1.2524249081336531, 1.0188695511983483, 0.26030242066122145, 0.1, 0.1, 0.4993412779736335, 1.5895486783363375, 2.2765682361795623, 0.1, 0.5380145910528329, 1.8900725213877356, 0.1, 0.1, 0.14054914504345917, 0.1, 1.843391835517867, 2.872230853442953, 0.36306819795750045, 0.9492026026454915, 0.29949319346268477, 1.4955447367214512, 2.1904868594674136, 0.8433774588243093, 1.8428100919807098, 0.982608016094515, 0.3467685493351592, 1.4414004029973062, 1.2803193815649831, 0.19465792214058175, 2.071462713584253, 1.2805822888032015, 1.974593581102433, 0.2380319532947004, 0.9381565882186398, 1.900927844276012, 0.21895092388620518, 1.3943506643371502, 1.7289508524388895, 0.1, 0.1, 1.0714130668186435, 0.31820043354659855, 0.5180164073297333, 0.585262811490946, 2.090375246659278, 1.9840910967547734]"
B20,13.419095,2.17507,0,0.5475,0.8475,"[1.5292479676939494, 1.0340983064299585, 2.8497455023352725, 1.7572378739645784, 0.9124317858045751, 1.412534168949473, 0.6617048413668138, 1.2891456881020287, 0.15153368621722552, 1.1090227206966305, 1.0772770315133307, 3.12037591844215, 1.7095575600387787, 2.8613137477397217, 0.1, 1.6508053382133432, 0.1, 0.4924158381598769, 0.36513663589395573, 0.5911309432929686, 1.0514913708282272, 0.19763636199881096, 1.7288959147014071, 0.6857029412859366, 0.8309801137441951, 1.7458213160844123, 0.8461406009209155, 0.47467356247672243, 2.9146282221317055, 1.4661397949928083, 1.2007082367515065, 1.686852897108264, 0.1, 0.6029622205861251, 0.7711753999316593, 2.4523291399657285, 0.1, 0.7062742137680604, 0.1, 1.7678894374391718, 0.1, 2.432304770164044, 0.9169209862126457, 1.8821832009286645, 0.18468113281077836, 2.188915113861185, 1.8176248212314277, 1.5704935398734845, 1.2480021456225545, 1.0086002053011023]"
