agent_id,pca_x,pca_y,accuracy,accuracy_normalized,pca_z
D7,0.41099510601674466,2.9071571771047995,0.1632432925083321,-0.03535171803788204,0.26836233425523925
D8,-1.2810282926229075,-0.7008173262336059,0.17573271253535627,0.18466159947480912,-0.4976237556446618
D9,-0.8706017875745025,1.7770989825298422,0.16996575632857483,0.08307104008462199,-3.579102470889526
D10,1.0470148782304571,-1.612784278725635,0.17203199173602568,0.11946979245036861,-0.23736905188070126
D1,-0.3604927918772134,0.2784400490231789,0.16858051592399703,0.05866867902187205,2.7971770615255305
D2,3.5097615228260888,-2.799590389174045,0.18097767552867106,0.2770567391925526,-2.164241259036194
D3,-1.5971947282123482,2.7233882835404373,0.15690541963348242,-0.146999531479354,-0.2949782149641217
D4,0.3360712481066994,-0.6646120271828578,0.17945861294000282,0.2502969698102149,2.1557214211825655
D5,3.8537699129519827,0.6750126263763486,0.16418886761866539,-0.018694490037566174,1.3062964248356237
D6,-5.048295067845001,-2.583293097258464,0.17303781413548983,0.1371883352214383,0.24575751061624632
D7,0.41099510601674466,2.9071571771047995,0.1647617306343287,-0.008602949174684283,0.26836233425523925
D8,-1.2810282926229075,-0.7008173262336059,0.1772511506613531,0.21141036833801127,-0.4976237556446618
D9,-0.8706017875745025,1.7770989825298422,0.17148419445457172,0.10981980894782513,-3.579102470889526
D10,1.0470148782304571,-1.612784278725635,0.17355042986202232,0.14621856131356734,-0.23736905188070126
D1,-0.3604927918772134,0.2784400490231789,0.16357560005596117,-0.029497796412203816,2.7971770615255305
D2,3.5097615228260888,-2.799590389174045,0.17597275966063539,0.18889026375848011,-2.164241259036194
D3,-1.5971947282123482,2.7233882835404373,0.15190050376544642,-0.23516600691343229,-0.2949782149641217
D4,0.3360712481066994,-0.6646120271828578,0.17445369707196715,0.16213049437614244,2.1557214211825655
D5,3.8537699129519827,0.6750126263763486,0.15918395175062966,-0.10686096547163959,1.3062964248356237
D6,-5.048295067845001,-2.583293097258464,0.16803289826745405,0.0490218597873639,0.24575751061624632
D7,0.41099510601674466,2.9071571771047995,0.15975681476629308,-0.09676942460875575,0.26836233425523925
D8,-1.2810282926229075,-0.7008173262336059,0.17224623479331724,0.12324389290393542,-0.4976237556446618
D9,-0.8706017875745025,1.7770989825298422,0.1664792785865356,0.021653333513744866,-3.579102470889526
D10,1.0470148782304571,-1.612784278725635,0.16854551399398643,0.05805208587949098,-0.23736905188070126
D1,-0.3604927918772134,0.2784400490231789,0.17991017467367057,0.25825167025835866,2.7971770615255305
D2,3.5097615228260888,-2.799590389174045,0.19230733427834473,0.4766397304290416,-2.164241259036194
D3,-1.5971947282123482,2.7233882835404373,0.16823507838315585,0.052583459757130684,-0.2949782149641217
D4,0.3360712481066994,-0.6646120271828578,0.1907882716896764,0.44987996104670247,2.1557214211825655
D5,3.8537699129519827,0.6750126263763486,0.17551852636833906,0.18088850119892289,1.3062964248356237
D6,-5.048295067845001,-2.583293097258464,0.18436747288516356,0.33677132645792834,0.24575751061624632
D7,0.41099510601674466,2.9071571771047995,0.17609138938400243,0.19098004206180574,0.26836233425523925
D8,-1.2810282926229075,-0.7008173262336059,0.18858080941102648,0.41099335957449495,-0.4976237556446618
D9,-0.8706017875745025,1.7770989825298422,0.18281385320424492,0.3094028001843059,-3.579102470889526
D10,1.0470148782304571,-1.612784278725635,0.18488008861169578,0.3458015525500525,-0.23736905188070126
D1,-0.3604927918772134,0.2784400490231789,0.17884258516126497,0.23944503953748625,2.7971770615255305
D2,3.5097615228260888,-2.799590389174045,0.19123974476593897,0.45783309970816627,-2.164241259036194
D3,-1.5971947282123482,2.7233882835404373,0.1671674888707501,0.03377682903625581,-0.2949782149641217
D4,0.3360712481066994,-0.6646120271828578,0.18972068217727056,0.4310733303258257,2.1557214211825655
D5,3.8537699129519827,0.6750126263763486,0.17445093685593316,0.1620818704780451,1.3062964248356237
D6,-5.048295067845001,-2.583293097258464,0.18329988337275774,0.317964695737052,0.24575751061624632
D7,0.41099510601674466,2.9071571771047995,0.1750237998715965,0.17217341134092745,0.26836233425523925
D8,-1.2810282926229075,-0.7008173262336059,0.18751321989862066,0.3921867288536186,-0.4976237556446618
D9,-0.8706017875745025,1.7770989825298422,0.18174626369183916,0.29059616946343053,-3.579102470889526
D10,1.0470148782304571,-1.612784278725635,0.18381249909929,0.3269949218291771,-0.23736905188070126
D1,-0.3604927918772134,0.2784400490231789,0.18510044941837417,0.34968342312708345,2.7971770615255305
D2,3.5097615228260888,-2.799590389174045,0.19749760902304855,0.5680714832977704,-2.164241259036194
D3,-1.5971947282123482,2.7233882835404373,0.17342535312785942,0.14401521262585495,-0.2949782149641217
D4,0.3360712481066994,-0.6646120271828578,0.19597854643437995,0.5413117139154263,2.1557214211825655
D5,3.8537699129519827,0.6750126263763486,0.18070880111304263,0.27232025406764715,1.3062964248356237
D6,-5.048295067845001,-2.583293097258464,0.1895577476298671,0.42820307932665214,0.24575751061624632
D7,0.41099510601674466,2.9071571771047995,0.18128166412870592,0.2824117949305286,0.26836233425523925
D8,-1.2810282926229075,-0.7008173262336059,0.19377108415573002,0.5024251124432187,-0.4976237556446618
D9,-0.8706017875745025,1.7770989825298422,0.18800412794894863,0.4008345530530326,-3.579102470889526
D10,1.0470148782304571,-1.612784278725635,0.19007036335639957,0.4372333054187807,-0.23736905188070126
