combination,pca_x,pca_y,accuracy,accuracy_normalized,pca_z
A1+B1+C9+D1,-1.5268753786016194,-0.5517666961044938,0.1615185878174113,-0.06573407366033139,0.7615170618885729
A1+B1+C9+D2,-1.5268753786016194,-0.06766121600471846,0.17391574742208546,0.15265398651035159,0.7615170618885742
A1+B1+C9+D3,-1.526875378601619,0.6758717299825063,0.14984349152689658,-0.27140228416155937,0.7615170618885753
A1+B1+C9+D4,-1.5268753786016196,-1.4882706096360896,0.1723966848334171,0.12589421712801194,0.7615170618885713
A1+B1+C9+D5,-1.5268753786016185,1.4442330585140635,0.1571269395120798,-0.14309724271976718,0.7615170618885774
A1+B1+C9+D6,-1.5268753786016194,0.04800842548685335,0.16597588602890437,0.012785582539239747,0.7615170618885747
A1+B1+C9+D7,-1.5268753786016187,1.9276815523496722,0.15769980252774313,-0.1330057018568848,0.7615170618885787
A1+B1+C9+D8,-1.5268753786016196,-1.1796385277049182,0.17018922255476707,0.08700761565580248,0.7615170618885726
A1+B1+C9+D9,-1.526875378601619,0.8021162493512427,0.1644222663479857,-0.01458294373438319,0.7615170618885764
A1+B1+C9+D10,-1.5268753786016196,-1.6105739662341234,0.16648850175543672,0.02181580863136635,0.7615170618885707
A1+B1+C10+D1,-1.5268753786016183,-0.5517666961044969,0.17785316243512078,0.22201539301023257,1.840913661925689
A1+B1+C10+D2,-1.5268753786016183,-0.06766121600472157,0.19025032203979486,0.44040345318091406,1.84091366192569
A1+B1+C10+D3,-1.5268753786016178,0.6758717299825032,0.16617806614460592,0.016347182509002134,1.840913661925691
A1+B1+C10+D4,-1.5268753786016185,-1.4882706096360927,0.1887312594511265,0.4136436837985744,1.8409136619256872
A1+B1+C10+D5,-1.5268753786016174,1.4442330585140604,0.1734615141297889,0.14465222395079044,1.8409136619256932
A1+B1+C10+D6,-1.5268753786016183,0.04800842548685024,0.18231046064661363,0.3005350492097998,1.8409136619256907
A1+B1+C10+D7,-1.5268753786016176,1.927681552349669,0.17403437714545247,0.15474376481367672,1.8409136619256945
A1+B1+C10+D8,-1.5268753786016185,-1.1796385277049213,0.18652379717247683,0.37475708232637134,1.8409136619256885
A1+B1+C10+D9,-1.5268753786016178,0.8021162493512396,0.18075684096569525,0.2731665229361817,1.840913661925692
A1+B1+C10+D10,-1.5268753786016185,-1.6105739662341265,0.18282307637314607,0.30956527530192784,1.8409136619256863
A1+B2+C1+D1,-0.061649672566976364,-0.5517666961044975,0.16492562671703825,-0.005715759793092469,1.7916311606478088
A1+B2+C1+D2,-0.061649672566976246,-0.06766121600472212,0.1773227863217124,0.21267230037759,1.79163116064781
A1+B2+C1+D3,-0.06164967256697609,0.6758717299825028,0.15325053042652348,-0.21138397029432143,1.7916311606478108
A1+B2+C1+D4,-0.06164967256697667,-1.4882706096360931,0.1758037237330439,0.18591253099524793,1.791631160647807
A1+B2+C1+D5,-0.061649672566975754,1.4442330585140595,0.16053397841170644,-0.08307892885253362,1.791631160647813
A1+B2+C1+D6,-0.06164967256697627,0.048008425486849686,0.16938292492853113,0.07280389640647525,1.7916311606478106
A1+B2+C1+D7,-0.061649672566975726,1.9276815523496686,0.1611068414273699,-0.0729873879896493,1.7916311606478144
A1+B2+C1+D8,-0.0616496725669767,-1.1796385277049217,0.17359626145439397,0.14702592952304042,1.7916311606478084
A1+B2+C1+D9,-0.061649672566976135,0.8021162493512392,0.16782930524761266,0.04543537013285573,1.791631160647812
